"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"RUS","","ALL","2010","2.36"
"RUS","","ALL","2011","2.51"
"RUS","","ALL","2012","2.62"
"RUS","","ALL","2013","2.76"
"RUS","","ALL","2014","2.91"
"RUS","","ALL","2015","3.08"
"RUS","","ALL","2016","3.21"
"RUS","","ALL","2017","3.23"
"RUS","","ALL","2018","3.32"
"RUS","","ALL","2019","3.48"
"RUS","","ALL","2020","3.49"
"","SEEHN","ALL","1990","0.93"
"","SEEHN","ALL","1991","0.94"
"","SEEHN","ALL","1993","1.05"
"","SEEHN","ALL","1998","1.38"
"","SEEHN","ALL","1999","1.46"
"","SEEHN","ALL","2000","1.56"
"","SEEHN","ALL","2003","1.81"
"","SEEHN","ALL","2004","1.91"
"","SEEHN","ALL","2005","2.06"
"","SEEHN","ALL","2006","1.99"
"","SEEHN","ALL","2007","2.33"
"","SEEHN","ALL","2008","2.54"
"","SEEHN","ALL","2009","2.51"
"","SEEHN","ALL","2010","2.73"
"","SEEHN","ALL","2011","3"
"","SEEHN","ALL","2012","3.14"
"","SEEHN","ALL","2013","3.22"
"","SEEHN","ALL","2014","3.52"
"","SEEHN","ALL","2015","3.65"
"","SEEHN","ALL","2016","3.86"
"","SEEHN","ALL","2017","3.71"
"","SEEHN","ALL","2018","3.76"
"SMR","","ALL","2011","6.13"
"SMR","","ALL","2012","5.9"
"SMR","","ALL","2013","5.79"
"SMR","","ALL","2014","5.61"
"SMR","","ALL","2015","5.67"
"SMR","","ALL","2016","6"
"SMR","","ALL","2017","5.95"
"SMR","","ALL","2018","6"
"SMR","","ALL","2019","6.44"
"SMR","","ALL","2020","6.57"
"SVK","","ALL","1980","2.45"
"SVK","","ALL","1982","2.78"
"SVK","","ALL","1984","3.06"
"SVK","","ALL","1985","3.13"
"SVK","","ALL","1986","3.21"
"SVK","","ALL","1987","3.29"
"SVK","","ALL","1988","3.43"
"SVK","","ALL","1989","3.55"
"SVK","","ALL","1990","3.7"
"SVK","","ALL","1991","3.76"
"SVK","","ALL","1992","3.82"
"SVK","","ALL","1993","3.89"
"SVK","","ALL","1994","3.97"
"SVK","","ALL","1995","3.75"
"SVK","","ALL","1996","4.03"
"SVK","","ALL","1997","4.18"
"SVK","","ALL","1998","4.41"
"SVK","","ALL","1999","4.44"
"SVK","","ALL","2000","4.74"
"SVK","","ALL","2001","4.9"
"SVK","","ALL","2002","5.07"
"SVK","","ALL","2003","5.24"
"SVK","","ALL","2004","5.34"
"SVK","","ALL","2005","5.3"
"SVK","","ALL","2006","5.46"
"SVK","","ALL","2007","5.65"
"SVK","","ALL","2008","5.59"
"SVK","","ALL","2009","6.22"
"SVK","","ALL","2010","6.27"
"SVK","","ALL","2011","6.23"
"SVK","","ALL","2012","6.33"
"SVK","","ALL","2013","6.29"
"SVK","","ALL","2014","6.26"
"SVK","","ALL","2015","6.37"
"SVK","","ALL","2016","6.78"
"SVK","","ALL","2017","6.52"
"SVK","","ALL","2018","6.53"
"SVN","","ALL","1980","2.42"
"SVN","","ALL","1982","2.58"
"SVN","","ALL","1985","2.68"
"SVN","","ALL","1987","2.77"
"SVN","","ALL","1988","2.87"
"SVN","","ALL","1989","2.95"
"SVN","","ALL","1990","3.14"
"SVN","","ALL","1991","3.3"
"SVN","","ALL","1992","3.45"
"SVN","","ALL","1993","3.52"
"SVN","","ALL","2005","3.52"
"SVN","","ALL","2006","3.73"
"SVN","","ALL","2007","3.94"
"SVN","","ALL","2008","4.1"
"SVN","","ALL","2009","4.31"
"SVN","","ALL","2010","4.51"
"SVN","","ALL","2011","4.71"
"SVN","","ALL","2012","4.83"
"SVN","","ALL","2013","4.94"
"SVN","","ALL","2014","5.04"
"SVN","","ALL","2015","5.15"
"SVN","","ALL","2016","5.26"
"SVN","","ALL","2017","5.39"
"SVN","","ALL","2018","5.5"
"SVN","","ALL","2019","5.57"
"SVN","","ALL","2020","5.63"
"TJK","","ALL","1991","0.37"
"TJK","","ALL","1992","0.38"
"TJK","","ALL","1993","0.31"
"TJK","","ALL","1994","0.31"
"TJK","","ALL","1995","0.28"
"TJK","","ALL","1996","0.24"
"TJK","","ALL","1997","0.21"
"TJK","","ALL","1998","0.23"
"TJK","","ALL","1999","0.21"
"TJK","","ALL","2000","0.3"
"TJK","","ALL","2001","0.18"
"TJK","","ALL","2002","0.13"
"TJK","","ALL","2003","0.14"
"TJK","","ALL","2004","0.16"
"TJK","","ALL","2005","0.18"
"TJK","","ALL","2006","0.23"
"TJK","","ALL","2007","0.23"
"TJK","","ALL","2008","0.24"
"TJK","","ALL","2009","0.25"
"TJK","","ALL","2010","0.29"
"TJK","","ALL","2011","0.3"
"TJK","","ALL","2012","0.34"
"TJK","","ALL","2013","0.38"
"TJK","","ALL","2014","0.42"
"TJK","","ALL","2015","0.31"
"TJK","","ALL","2016","0.29"
"TJK","","ALL","2017","0.33"
"TJK","","ALL","2018","0.32"
"TKM","","ALL","1991","0.39"
"TKM","","ALL","1992","0.39"
"TKM","","ALL","1993","0.39"
"TKM","","ALL","1994","0.37"
"TKM","","ALL","1995","0.33"
"TKM","","ALL","1996","0.32"
"TKM","","ALL","1997","0.35"
"TKM","","ALL","2000","0.36"
"TKM","","ALL","2001","0.34"
"TKM","","ALL","2002","0.33"
"TKM","","ALL","2003","0.33"
"TKM","","ALL","2004","0.33"
"TKM","","ALL","2005","0.32"
"TKM","","ALL","2006","0.33"
"TKM","","ALL","2007","0.33"
"TKM","","ALL","2008","0.32"
"TKM","","ALL","2009","0.32"
"TKM","","ALL","2010","0.32"
"TKM","","ALL","2011","0.37"
"TKM","","ALL","2012","0.38"
"TKM","","ALL","2013","0.39"
"TKM","","ALL","2014","0.39"
"TKM","","ALL","2015","0.38"
"TKM","","ALL","2016","0.4"
"TKM","","ALL","2017","0.52"
"TKM","","ALL","2018","0.54"
"TKM","","ALL","2019","0.55"
"TKM","","ALL","2020","0.6"
"UKR","","ALL","1980","0.86"
"UKR","","ALL","1981","0.91"
"UKR","","ALL","1982","0.97"
"UKR","","ALL","1983","1.04"
"UKR","","ALL","1984","1.11"
"UKR","","ALL","1985","1.18"
"UKR","","ALL","1986","1.27"
"UKR","","ALL","1987","1.35"
"UKR","","ALL","1988","1.42"
"UKR","","ALL","1989","1.48"
"UKR","","ALL","1990","1.56"
"UKR","","ALL","1991","1.68"
"UKR","","ALL","1992","1.69"
"UKR","","ALL","1993","1.71"
"UKR","","ALL","1994","1.73"
"UKR","","ALL","1995","1.74"
"UKR","","ALL","1996","1.76"
"UKR","","ALL","1997","1.76"
"UKR","","ALL","1998","1.78"
"UKR","","ALL","1999","1.83"
"UKR","","ALL","2000","1.85"
"UKR","","ALL","2001","1.87"
"UKR","","ALL","2002","1.92"
"UKR","","ALL","2003","1.97"
"UKR","","ALL","2004","2.05"
"UKR","","ALL","2005","2.15"
"UKR","","ALL","2006","2.25"
"UKR","","ALL","2007","2.36"
"UKR","","ALL","2008","2.55"
"UKR","","ALL","2009","2.66"
"UKR","","ALL","2010","2.75"
"UKR","","ALL","2011","2.86"
"UKR","","ALL","2012","2.98"
"UKR","","ALL","2013","3.14"
"UKR","","ALL","2014","2.74"
"UKR","","ALL","2015","2.8"
"UKR","","ALL","2016","2.86"
"UKR","","ALL","2017","2.92"
"UZB","","ALL","1991","0.45"
"UZB","","ALL","1992","0.43"
"UZB","","ALL","1993","0.36"
"UZB","","ALL","1994","0.34"
"UZB","","ALL","1995","0.35"
"UZB","","ALL","1996","0.44"
"UZB","","ALL","1997","0.32"
"UZB","","ALL","1998","0.36"
"UZB","","ALL","1999","0.51"
"UZB","","ALL","2000","0.51"
"UZB","","ALL","2001","0.41"
"UZB","","ALL","2002","0.33"
"UZB","","ALL","2003","0.33"
"UZB","","ALL","2004","0.35"
"UZB","","ALL","2005","0.36"
"UZB","","ALL","2006","0.38"
"UZB","","ALL","2007","0.38"
"UZB","","ALL","2008","0.4"
"UZB","","ALL","2009","0.42"
"UZB","","ALL","2010","0.43"
"UZB","","ALL","2011","0.44"
"UZB","","ALL","2012","0.46"
"UZB","","ALL","2013","0.48"
"UZB","","ALL","2014","0.53"
"UZB","","ALL","2015","0.57"
"UZB","","ALL","2016","0.6"
"UZB","","ALL","2017","0.63"
"UZB","","ALL","2018","0.71"
"UZB","","ALL","2019","0.77"
"","WHO_EURO","ALL","2005","3.05"
"","WHO_EURO","ALL","2006","3.17"
"","WHO_EURO","ALL","2007","3.3"
"","WHO_EURO","ALL","2008","3.45"
"","WHO_EURO","ALL","2009","3.55"
"","WHO_EURO","ALL","2010","3.65"
"","WHO_EURO","ALL","2011","3.79"
"","WHO_EURO","ALL","2012","3.97"
"","WHO_EURO","ALL","2013","4.04"
"","WHO_EURO","ALL","2014","4.12"
"","WHO_EURO","ALL","2015","4.25"
"","WHO_EURO","ALL","2016","4.32"
"","WHO_EURO","ALL","2017","4.37"
"","WHO_EURO","ALL","2018","4.42"
